sentence_id_2,sentence_id_1,sentence_text_2,argument_id_2,sentence_text_1,argument_id_1,score
B1201002p,B0933002p,Taxes are meant to serve as legitimate revenues that support the public burdens of the state,B1201,"Historical records indicate that after the death of King Pipin, a solemn general convention of the Franks was held",B0933,0.9177076909722992
S0052118002p,B0685006p,This call for a more comprehensive approach reflects the necessity for clarity and precision in the proposed changes,S0052118,Subjects feel oppressed and despised under a tyrant's rule,B0685,0.9152944203283729
S0020411004sc,B0336001sc,Requests for funds must include a commitment to the nation's welfare,S0020411,The council must address policy reform,B0336,0.7727506546681772
S0019282003sc,B0290002sc,Parliament must ensure prayers prioritize national security,S0019282,The King's name in legal contexts represents collective governance,B0290,0.48527339886012866
S0023111005p,B0469004p,Addressing this issue can prevent any resurgence of Catholic influence that could undermine the progress made since the Glorious Revolution,S0023111,"The electors, including the patricians and other princes, held their authority based on the elective agreement of the subjects and the customs of governance within the empire",B0469,0.8952409946905517
S0023742005p,B0829005p,The recent political upheaval following the Glorious Revolution has heightened the demand for accountability,S0023742,This creates a scenario where the king can be judged and potentially deposed by the very subjects he governs,B0829,0.4787071280557003
B0606001sc,B0180002sc,The Church has the authority to govern Christians,B0606,Kings who act without accountability undermine equality,B0180,0.8708708090332686
S0018058007p,B0111006p,Retreating into procedural discussions may overlook the pressing dangers at hand,S0018058,"When rulers abuse their power and act tyrannically, they forfeit their right to govern",B0111,0.8220476876461572
S0053566001sc,B1072001sc,The return to previous governance should be upheld,S0053566,Sovereign actions significantly influence societal norms,B1072,0.8043793885108625
S0024213002sc,B0932002sc,A general tax on the entire kingdom reduces accountability in taxation,S0024213,The Kingdom's succession did not rely on hereditary lines,B0932,0.9233145463060437
S0053341001sc,B0691002sc,A stable governance approach that respects tradition and diverse religious sentiments is essential for England's stability,S0053341,A ruler must ensure effective governance,B0691,0.6984870901136978
B1128006p,B0957002p,This fear can lead to oppression and a lack of genuine peace,B1128,"When some of the King's Privy-Counsellors attended the Convention, they were commanded to leave",B0957,0.9108308399722073
S0019982002p,B0578009p,"The act of confiscating Montagu's papers is illegal and sets a troubling standard where any man's documents could be seized at will, leading to potential abuses of power",S0019982,A king's authority is not merely a matter of title but is reinforced by the subjects' compliance,B0578,0.923915209369228
S0023524004p,B0616002p,"The historical context reveals that many individuals have faced severe punishments, such as imprisonment and public humiliation, under King James II's regime",S0023524,The obligation to obey a king can cease,B0616,0.5980987366193838
S0023222001sc,B0898001sc,The Proviso obstructs legislative authority,S0023222,The world exhibits a dual order,B0898,0.9127217464204213
S0018485004p,B0565003p,There are concerns about Lauderdale's influence and the potential for violence reminiscent of Scotland,S0018485,A king holds a position of supreme authority that is divinely ordained,B0565,0.9177998941121395
B1125005p,B0996003p,A dominion that relies on the terror of its subjects lacks true peace,B1125,Many tyrants gained power by appealing to the masses through their criticism of the notables,B0996,0.7503377345835939
B1139009p,B0588002p,This balance prevents tyranny and promotes the common welfare,B1139,"The individuals who condemned the king acted without legitimate authority, as they were not empowered by the people or the law to judge him",B0588,0.8417208974475063
S0019793003sc,B0179001sc,Denying an individual's right to consult with friends undermines justice and fairness in governance,S0019793,Rulers' actions are limited by legal frameworks,B0179,0.6577763886506739
S0080014006p,B0240010p,King James II has deprived the nation of kingly governance,S0080014,The legitimacy of a King's rule is contingent upon the consent of the governed,B0240,0.92395687368926
S0020368009p,B0192003p,The need for the Commons to retain its voice and influence is particularly important during a time of heightened political tension and the ongoing Exclusion Crisis,S0020368,Citizens who were subjected to such rulers had no say in their governance and were forced to acknowledge authority that was not derived from their consent,B0192,0.9185031549959404
S0051674008p,B1082006p,The consequences of losing an office serve as a reminder of the collective responsibility in maintaining effective governance,S0051674,"Without a unified sovereign authority, the Commonwealth loses its life and coherence, leaving its members to fend for themselves",B1082,0.8344268454146183
S0017165011p,B0268001p,The proposed Bill would prevent the appointment of bishops who could undermine the Protestant foundation of the Church,S0017165,The essence of a King is defined by the validity of his Acts,B0268,0.9222415744850213
S0022821002sc,B1203002sc,The provision for punishing Members of Parliament is essential for protecting members from arbitrary actions,S0022821,to maintain justice,B1203,0.9011982085205279
S0022712002p,B0708001p,There is no concept of an interregnum within our Government,S0022712,The rights of the people remain intact despite the actions of corrupt administrators because the structure of governance is designed to protect those rights,B0708,0.8203498939481932
S0022620008p,B1081006p,The resistance to Queen Mary's attempts underscores the prevailing sentiment against foreign ecclesiastical authority,S0022620,The sovereign must sometimes resort to force to reclaim necessary resources,B1081,0.8972174793605223
S0021333006p,B0892002p,It is imperative to emphasize the term 'injustice' in the official documentation,S0021333,"Individuals are born into a state of servitude, with no rights to personal freedom or ownership",B0892,0.7519489485798923
S0016683001sc,B0989001sc,Mallet's situation highlights the need for fair assessments of actions in governance,S0016683,The Lacedaemonian monarchy represents an effective model of royal governance,B0989,0.8686840955356104
S0023776006p,B0317006p,Judge Powell's modesty may be commendable,S0023776,"A human king, ruling only regally, could impose taxes and take resources without the people's consent",B0317,0.9238098678221686
S0023865002p,B0315004p,"The people are deeply invested in the fate of Ireland, indicating that there is a disconnect between the government and the populace",S0023865,The necessity of the 'Rogation of the People' in law-making evidenced this acknowledgment,B0315,0.3986453220673462
S0051699002p,B0837001p,The Act that criminalizes the establishment of a single ruler could undermine the stability and governance of the Commonwealth,S0051699,The argument that the constituent is greater than the constituted does not hold true in the context of governance,B0837,0.923101648728993
S0022710008p,B0679002p,Effectively communicating its intentions and principles paves the way for a Bill of Rights that will safeguard the rights of subjects and promote a stable constitutional monarchy,S0022710,Individuals under a monarchy tend to feel less invested in the common good,B0679,0.8747284296572028
S0016928002p,B0009006p,"This measure is essential to ensure that those in positions of influence, particularly Privy Counsellors, are aligned with the values of the Church of England and do not pose a threat to the religious stability of the nation",S0016928,The discussion around the ambiguity of who qualifies as Adam's heir highlights the importance of this divine right in establishing authority,B0009,0.9114150722321603
S0022597002sc,B0143002sc,Voting to declare the Crown vacant is essential for countering Catholic absolutism in England,S0022597,is unjust,B0143,0.9024405931072759
S0020223001p,B0642007p,It is premature for Parliament to pursue any petition regarding the extension of time until a definitive response is received from King Charles II about whether such an extension will be granted,S0020223,The rejection of the oath implies a broader theological and political context,B0642,0.828107391241975
S0017084003p,B0205001p,Individuals have been treated like slaves,S0017084,"A king cannot be above the law, as the very foundation of governance is the establishment of laws to ensure justice for the people",B0205,0.24019554586363973
S0017342001p,B0076005p,The necessity for a Grand Committee arises from the need for greater freedom of debate within Parliament,S0017342,This oversight is essential to maintain the balance of power and ensure that the commands issued by the princely part align with the laws that govern the community,B0076,0.891549886751359
S0023593003sc,B1015002sc,The legislative process must uphold the new constitutional framework,S0023593,A stable society enables individual flourishing,B1015,0.9196852913460876
B0842006p,B0608003p,The royal prerogative cannot be considered an inherent quality,B0842,"Christian freedom is about liberation from the laws of Moses and the fear of servitude, allowing for a free service rooted in love and charity",B0608,0.9181124585171304
S0024404002p,B0603001p,The monarchy is often a point of contention,S0024404,The spiritual power of the Pontiff is fundamentally different from the temporal power of kings,B0603,0.8133617620387645
S0021048002p,B0214004p,Bennet has previously expressed anger over the issue of the Duke's banishment,S0021048,"If the King fails to adhere to these obligations, he undermines the trust placed in him by the people",B0214,0.8483120420790157
S0023832002sc,B0228002sc,to hold accountable individuals undermining England's stability,S0023832,A ruler bound by laws prevents the erosion of rights,B0228,0.37645959308588856
S0023588001sc,B0652001sc,A Committee is essential to investigate the Dispensing Power,S0023588,The will of the people determines rightful leadership in succession disputes,B0652,0.5741260635468719
S0022662001p,B1072008p,The Clergy of the Church of England deserve the thanks of this House for their courageous stand against Popery,S0022662,The breakdown in societal order can occur when individuals revert to their own moral judgments,B1072,0.9028455743482436
S0020560006p,B0325002p,The protection of our Protestant faith is at risk,S0020560,This alignment is essential for just governance and the welfare of the subjects,B0325,0.919761087982351
S0018120001sc,B0286002sc,Parliament must assess if proceeding with motions without proper debate erodes confidence in King Charles II,S0018120,People must enact change when leaders fail to serve societal interests,B0286,0.19630616177217258
S0022793002p,B1078003p,"By declaring William of Orange and Mary II King and Queen, the Parliament affirms their rightful claim to the throne",S0022793,Non-subjects are categorized as either enemies or individuals who have previously entered into agreements with the Commonwealth,B1078,0.7951370921974799
S0053103005p,B0386003p,It is inappropriate to require Oliver Cromwell to take an oath until a more perfected and stable government is established,S0053103,"In this context, a citizen is not merely a subject but a 'free subject,' indicating that while citizens owe obedience to a sovereign authority, they retain certain rights and privileges that distinguish them from non-citizens, such as slaves or aliens",B0386,0.9154691744994585
S0020898006p,B0736002p,The Duke of Lauderdale's absence during the creation of the controversial law demonstrates his commitment to the Crown,S0020898,"When a ruler violates his oath and undermines the foundational laws of the realm, the ruler becomes a tyrant",B0736,0.9227267474027939
S0070479001p,B0491004p,The current political upheaval following the Glorious Revolution necessitates decisive action from King James II to restore trust and stability within the nation,S0070479,"When individuals find themselves without recourse against a ruler's actions, they perceive a lack of security and protection",B0491,0.737098832345885
S0023043006sc,B0175001sc,The current Parliament must protect the voices in financial decisions,S0023043,Judges are essential for resolving contractual disputes,B0175,0.9239608974113964
S0023465005p,B0410003p,Individuals who disrupt the government have been detained without trial for months,S0023465,The distinction between despotism and tyranny further supports this claim,B0410,0.8871990448732084
S0001012005p,B0568004p,Such radical ideas offend the sensibilities of sober-minded individuals,S0001012,"The principle that 'the King can do no wrong' underscores the idea that the king, as a person, is above the laws that govern ordinary citizens",B0568,0.8928395418300175
S0020837001sc,B0469003sc,Parliament must act decisively against the Earl of Danby,S0020837,Electors do not derive their power from the Roman pontiff,B0469,0.8648394790507705
S0010848003p,B0004004p,Individuals accused of such a grave crime ought to be detained to uphold justice and maintain order within society,S0010848,True kingship is defined by the ability to govern with supreme power,B0004,0.5546365661602255
S0023943003p,B0175002p,Any decision made must go beyond mere acceptance of the proposed terms,S0023943,Judges are essential for maintaining order and justice within a society,B0175,0.8384749977759658
S0022931007p,B0868005p,A long-term commitment to the Revenue would demonstrate confidence in William's ability to uphold the religion and laws,S0022931,Laws established by the peoples themselves and their customs are also valid,B0868,0.9082221150205688
S0019793001sc,B0156002sc,Denying an individual's right to consult with Counsel undermines justice in governance,S0019793,Government changes for the public good are essential for its success,B0156,0.43061232285216566
S0020260006p,B0766006p,The Commons' previous representation of their rights under King James I highlights the necessity of asserting these privileges,S0020260,"Subjects often rose against tyrants, leading to their downfall",B0766,0.8705104534498398
B1153001sc,B0321001sc,The mode of election is likely to produce the best prince,B1153,Heavy taxation without consent undermines a monarchy's military strength,B0321,0.850306333639225
S0017366001p,B1042009p,The Parliament must actively support the King in forming alliances to protect England's interests and maintain its wealth and religious integrity,S0017366,"The consequences of disobedience are portrayed as detrimental, leading to disorder and conflict",B1042,0.8923275989159206
S0010748001sc,B0219002sc,Neglecting the people's needs by those in power threatens national stability,S0010748,A higher authority is necessary to maintain political order,B0219,0.8275671591908096
S0018212003sc,B0283002sc,Parliament must act swiftly to safeguard national stability,S0018212,Punishing the populace for a Prince's crimes undermines a fair society,B0283,0.9135492862805954
S0053258006p,B0405004p,This practice upholds the integrity of the governing body,S0053258,"The essence of monarchy lies in its indivisible nature of sovereignty, which cannot be shared among multiple entities without leading to confusion and conflict over authority",B0405,0.9216543173247737
S0020541004p,B0911002p,Lifting the obligation of secrecy allows for a full disclosure of the individuals involved in the conspiracy,S0020541,"The imperial dignity is fundamentally tied to the office of the Emperor, which is to maintain the unity and integrity of the Empire",B0911,0.9215309164175933
S0023455003p,B0680007p,The compliance seen during King James II's reign was driven by necessity rather than genuine support,S0023455,The experiences of the Hebrew people and the Roman Republic show that the concentration of power in one individual often led to oppression and neglect of the common good,B0680,0.24027283646830708
S0024397003p,B0097002p,"The officers responsible for the welfare of soldiers acted commendably, yet there was no accountability for those who did not fulfill their duties",S0024397,The inherent equality among individuals leads to constant disputes that require resolution,B0097,0.8722960110626065
S0024425002p,B0646009p,The government acknowledges the need for temporary measures that respond to current circumstances without overstepping their bounds by including the phrase 'and no longer.',S0024425,"A single ruler, when guided by prudence and justice, can effectively maintain order and ensure the welfare of the populace",B0646,0.9173948221897191
S0017617003p,B0619008p,"Without concrete information or a defined course of action, it is unwise for the House to grant any form of Supply",S0017617,This perspective aligns with the view that the Pope does not possess any unique status that would exempt him from civil authority,B0619,0.9075342437269807
S0018104003sc,B0522001sc,The recall of the English Ambassador from France and the expulsion of the French Ambassador from England is necessary for national safety,S0018104,Despotical power lacks legitimacy as authority under natural law,B0522,0.8447794318862721
S0020601001p,B0036007p,Depriving Thomas Danby of his honour and estate is not the most honourable course of action for Parliament to take,S0020601,"By acting on true reason, the executive is fulfilling the original intent of the government to serve the people effectively",B0036,0.9229432580387029
B0792005p,B0531001p,The actions of the faithful members of the House of Commons were justified and necessary,B0792,A government cannot maintain its form while having an illegitimate ruler,B0531,0.8434726656098198
S0019256002p,B0426002p,"By acknowledging his fault, the individual in question has opened the door for a necessary admonition from the Speaker regarding the Proclamation",S0019256,Popular associations and guilds foster unity and solidarity among the populace,B0426,0.8317630392759672
S0010869005p,B1056006p,The clandestine actions taken to erode our freedoms cannot be tolerated,S0010869,Ambassadors and agents fulfill the role of representing the sovereign to foreign states,B1056,0.9053262632925486
S0021307010p,B0317001p,The publication of the Committee's narrative would vindicate Parliament's position,S0021307,The children of Israel were better off under God's rule than under a human king,B0317,0.9053687690761378
S0021310001p,B0214006p,The current political crisis demands immediate and decisive action from Parliament to prevent the grave injustice of allowing a Catholic monarch to ascend to the throne,S0021310,"The argument that a King can act arbitrarily or absolve himself of his duties contradicts the foundational principle that all individuals, including monarchs, are subject to the same laws of truth and justice",B0214,0.8787199224453455
S0019882004p,B0488005p,No formal indictment has been established against the priests involved in the alleged conspiracy,S0019882,This uncertainty fosters contention and undermines the very foundation of political authority,B0488,0.7379444152399743
S0053352001p,B0107006p,The House of Lords should not be recognized or engaged with due to their illegitimacy following the abolition of their title by Act of Parliament,S0053352,Kings who do not adhere to the principle of mutual consent are acting against the natural order established by God,B0107,0.7421360796289617
S0020255002p,B0817001p,The choice of a new Speaker is a necessary step to ensure the functioning of Parliament and the protection of its liberties,S0020255,Existence cannot be conceived without Order,B0817,0.9204809848260438
S0000814001sc,B0772001sc,The Parliament of England aims to reform the government,S0000814,A king cannot be judged by his subjects,B0772,0.49520125296965306
B0911001sc,B0176002sc,The Emperor can transfer imperial dignity to the Church,B0911,Governments are maintained through the consent of the governed,B0176,0.6994340466863225
S0022894001p,B1145001p,A good settlement for England requires transforming the current Convention into a Parliament to ensure the monarchy operates within the bounds of the people's will,S0022894,The appointment of judges from the patricians cannot ensure fair justice for both patricians and commons,B1145,0.8988115257571614
S0023106002sc,B0613001sc,A committee is essential to ensure the stability and legitimacy of William of Orange and Mary II's rule,S0023106,The Fathers of the Council of Arles upheld their authority,B0613,0.8253850233053737
B0717004p,B0061003p,"When the magistrate breaks this trust by failing to fulfill his obligations, the contract between him and the people is dissolved",B0717,The actions of the Roman bishops directly contradict the Apostle's command to be subject to higher powers as stated in Romans 13,B0061,0.6203810752346562
S0024144002sc,B0759002sc,Recommitment of The Address is necessary for thorough examination and accountability of the Sovereign and their Under-Officers,S0024144,People have the right to challenge tyranny,B0759,0.4893745637027867
S0017188010p,B0417006p,"By forming a committee to draft an address to the King, Parliament can reinforce its commitment to providing further aid and supplies",S0017188,The safeguards mentioned require a significant number of citizens to be present for important decisions,B0417,0.9229840902233845
S0022871005p,B1073003p,The Assembly should address the establishment of the Revenue and grant the King the necessary powers to manage present emergencies while preparing for the convening of a legitimate Parliament in the future,S0022871,The purpose of punishment is to encourage obedience to the law among the populace,B1073,0.9109618235011723
B0756003p,B0557005p,"Rulers, including kings, are bound by the same laws as their subjects",B0756,"The example of Christ, who paid taxes to a tyrant, illustrates that obedience to earthly authorities is a reflection of a higher spiritual order",B0557,0.9139501706612314
S0017202001sc,B0187001sc,The Address presented to Parliament should be rejected,S0017202,Revenue obligations to a king should not exist,B0187,0.7842479829117237
S0020953002p,B0672010p,Judgments can be rendered without the position of a Lord High-Steward,S0020953,Maintaining his word reinforces the loyalty of his ministers and subjects,B0672,0.9224593405293556
S0023462009p,B0554004p,Those opposing the proposed Bill must acknowledge the risks associated with inaction,S0023462,Christ did not intend to change the existing form of governance,B0554,0.8836876537785321
S0018263007p,B0820005p,It is essential to reject any proposals that circumvent the proper legislative process,S0018263,The descendants of the original contractors are not automatically bound to the covenant made by their ancestors,B0820,0.9138174910605671
S0023446006p,B0749003p,The potential consequences of unchecked religious expression can threaten stability,S0023446,"Fathers are biologically responsible for their children, while kings are appointed by the people",B0749,0.8132183420829604
S0023843006p,B0893005p,The focus should be on ensuring that the monarchy remains vigilant against any resurgence of Catholic influence,S0023843,"This contrasts sharply with arbitrary power, where the ruler's will is the sole law, leading to oppression and the absence of individual rights",B0893,0.9186372238489502
S0017305006p,B1101002p,Parliament asserts its role in shaping the nation's foreign policy,S0017305,The stability of civil society is contingent upon justice,B1101,0.9239332029818156
S0020349004p,B0783012p,Insisting that the Treasurer plead his pardon during a trial emphasizes the importance of due process and the rule of law,S0020349,The political power in England is shared and not solely vested in the monarchy,B0783,0.6879218245217361
S0020971001p,B0101001p,The Speaker of the House of Commons should not present any Money-Bill to the Lords without prior notification from the King or the Lords regarding the King's intention to pass such Bills,S0020971,Perfect democracy is founded on the principle of equal rights and collective consent,B0101,0.9205567297796048
B0786001p,B0163006p,A king's sovereignty can indeed be derived from the people rather than solely from descent,B0786,"Historical examples illustrate that even in monarchies, the power is granted by the people, who retain the right to set limits on that power",B0163,0.2695621931031518
S0024074003p,B0440008p,"By charging a sum not exceeding £1,400,000 upon land through a Pound Rate of two shillings in the pound for one year, the government can effectively raise the required funds to stabilize the nation",S0024074,This leads to a restrictive environment where honour is denied or severely limited for those who deserve it,B0440,0.8589938071180998
S0017329007p,B0672005p,Cooperation allows for a balanced exchange of ideas and ensures that the governance reflects the will of both the Crown and the representatives of the people,S0017329,A prince must prioritize sincerity and loyalty over cunning,B0672,0.9049927470166141
S0019577001p,B0665002p,The government must take a firm stance against the pernicious counsels that threaten the stability of the monarchy and the nation,S0019577,This responsibility is crucial because appointing corrupt or infamous individuals to positions of power can lead to widespread harm and calamity for the populace,B0665,0.2769288521094287
S0023221005p,B0088002p,The implications of this Proviso will only serve to confuse those outside the royal court,S0023221,True liberty is defined by independence from the will of another,B0088,0.8950795647539949
B0889004p,B0433010p,Religion and justice are essential for public tranquility,B0889,Historical examples illustrate that states flourish when the sovereign respects the roles of other governing bodies,B0433,0.5958391234133774
B0508002p,B0083007p,The requirement for consent is a fundamental principle of governance that protects individual property rights,B0508,The right to resist oppressive rule is intrinsically linked to the acknowledgment of natural liberty,B0083,0.3228312775224717
S0022903002sc,B0051001sc,The monarchy's legitimacy depends on its alignment with the will of Parliament,S0022903,An illegitimate ruler undermines government integrity,B0051,0.24183963526500346
S0051932001p,B0567002p,The proposed laws for Excise and Customs contain grievous clauses that undermine the principles of fair governance and representation,S0051932,The king's authority is derived from a higher power that is not subject to any laws or judgments,B0567,0.9238450757474361
S0023467006p,B0867002p,There is a need for a fair judicial system,S0023467,"Initially, the authority to create human laws resided with the people themselves",B0867,0.9057404328126973
S0022805006p,B0297005p,This structured approach to governance reinforces the legitimacy of the new regime,S0022805,The idea that proclamations from a single ruler could replace these laws poses a significant risk to the nation,B0297,0.24019554586363973
S0022960001p,B0308006p,"In the current political climate following the Glorious Revolution, it is essential to advise King William of Orange to secure individuals he suspects of undermining the new order",S0022960,History shows that governments can be corrupted,B0308,0.9085597904260722
S0023456006p,B1028004p,This stance reflects a commitment to safeguarding the political and religious order in England during a time of significant upheaval,S0023456,Individuals can willingly submit to a monarch just as they can to an assembly,B1028,0.916662942138906
B0406009p,B0057004p,The nature of a popular state is defined by the collective exercise of power,B0406,The bishops have attempted to exempt clergy from civil laws,B0057,0.9210633347565942
S0020264005p,B0459005p,The King’s attempts to dismiss multiple Speakers could lead to a dangerous precedent where he could manipulate the House to serve his interests,S0020264,The division of the people allows for broad representation in the election of magistrates and other officials,B0459,0.9234978055601015
S0070439006p,B1133003p,This measured approach is essential to maintain a balance of power,S0070439,"Without such authority, individuals may act on their impulses, leading to discord and instability within the commonwealth",B1133,0.6323690451338024
S0019519005p,B0160004p,Such commissions could lead to a resurgence of anti-Catholic sentiment and public hysteria,S0019519,"Historical examples illustrate that those who rise against tyranny, such as the figures of Moses, David, and the Maccabees, are celebrated for their roles in liberating their people from oppression",B0160,0.8671932121775305
S0003056001p,B0642008p,The distinction between the king's adjournment of the House of Commons and the Speaker's adjournment is crucial in understanding the dynamics of power within the English government,S0003056,"In this context, the denial of the Pontiff's power is paramount",B0642,0.8414263714384118
S0019987002p,B0039007p,It is imperative that members of Parliament accompany Montagu to retrieve the crucial Papers,S0019987,Any exercise of power that does not align with the public good is seen as an overreach,B0039,0.7178888384845115
S0017143005p,B0257003p,Maintaining the balance of power between the monarchy and Parliament is crucial for maintaining order in a time of political and social upheaval,S0017143,The Israelites chose their leaders in times of need,B0257,0.8793637407803492
S0023161002sc,B0510002sc,The House must strengthen William of Orange and Mary II's legitimacy,S0023161,The people can change legislative power if it does not serve the community's welfare,B0510,0.9169840494508769
S0020043002p,B0457005p,The peace agreement requires an annual payment of six million livres,S0020043,"Without education, citizens may lack the necessary understanding to participate effectively in political processes",B0457,0.923674092938717
S0000996007p,B1046001p,The Parliament's subsequent expression of gratitude towards the commissioners underscores the value of their efforts,S0000996,The obligation of subjects to the sovereign is dependent on the sovereign's ability to protect the subjects,B1046,0.6345265585887386
S0023346003p,B0450011p,It is crucial to ensure that the Proviso does not leave any loopholes that could be exploited,S0023346,Secular authority should govern the physical realm without infringing upon spiritual governance,B0450,0.9128620710554263
S0019204003sc,B0261001sc,Misuse of the English monarchy's authority negatively impacts England,S0019204,Nations can reclaim sovereignty,B0261,0.8542726576056059
B0277001p,B0177004p,It is reasonable to assume that a Parliament is less prone to error than a single monarch,B0277,"Historical examples illustrate that even in systems where rulers hold significant power, there are mechanisms in place for the people to correct or depose them if necessary",B0177,0.5261369111763288
S0023902002p,B0670007p,The citizens of London actively participated in the transition of power,S0023902,"When the value of currency is manipulated, it disrupts trade, impoverishes citizens, and ultimately reduces tax revenues",B0670,0.8814391867947499
S0020886001sc,B1206002sc,The House of Commons must act decisively to uphold its responsibilities,S0020886,Public reverence is required for all princes,B1206,0.730533434969596
S0022809001p,B0812002p,"The Queen should be recognized as Custos Regni in her own right, independent of the King's authority",S0022809,The current ecclesiastical sovereignty is fundamentally dependent on Christ,B0812,0.6269450827286093
S0024320004p,B1166003p,"Judges claimed these laws were solely the King's, granting him absolute authority akin to that of Eastern princes",S0024320,The authority to elect and institute a principate is fundamentally rooted in the collective will of the citizens,B1166,0.9238098678221686
S0020270003sc,B0109001sc,The Commons must protect English liberties,S0020270,A government based on force lacks legitimacy,B0109,0.7223561642085063
S0023050003p,B0628008p,This swift action can be accomplished in a matter of days,S0023050,The new form of oath served as a safeguard against future threats,B0628,0.780008270529913
S0003015005p,B0386001p,"Once these alliances are secured, His Majesty can be assured of the House's commitment to providing timely and generous supplies to support and maintain these vital partnerships",S0003015,A citizen can indeed be defined as a free subject dependent on the authority of another,B0386,0.8523180529323078
B0296003sc,B0179006sc,Distributing power among multiple representatives safeguards the rights of its citizens,B0296,Societal frameworks define rulers' legitimacy,B0179,0.7423765608479339
S0017863004p,B0008003p,The speaker emphasizes the importance of trust in the King and Parliament,S0017863,Current rulers cannot justly demand obedience from their subjects,B0008,0.9224896376039258
S0024326005p,B0665003p,The urgency of the situation demands that we act decisively rather than allowing ourselves to be paralyzed by the need for exhaustive enumeration of grievances,S0024326,"When magistrates lack virtue, they not only fail to uphold justice but also encourage the imitation of vices among the citizens, resulting in a society plagued by moral decay",B0665,0.91869325598546
S0022764006p,B1149001p,"By defending the Charter of London and opposing a Popish King, Grey demonstrated unwavering loyalty to the government and the rights of the citizens",S0022764,The princely part of the city can indeed be categorized into well-tempered and flawed types,B1149,0.7756825095174528
S0070462004p,B0762004p,"The House's inclination towards this proposal, initially suggested as a subsidy or land tax, indicates a preference for a solution that not only addresses immediate fiscal needs but also reinforces the authority of the monarchy in a period marked by division and dissent",S0070462,"If a ruler abuses their power or fails to govern wisely, the people have the right to remove them from power",B0762,0.7828519405093219
S0017925001sc,B0929002sc,King Charles II must re-assume Crown Lands,S0017925,The classification of governance manages public interests effectively,B0929,0.9238730015781524
S0024418003p,B0026002p,The lack of clarity in the motion is detrimental to meaningful debate and decision-making,S0024418,"When individuals enjoy any part of the dominions of a government, they implicitly give their tacit consent to be governed by its laws",B0026,0.842725006080532
S0019311002p,B0938002p,"The case of Tortereaux, a Justice of the Peace, demonstrates the need for action against individuals who do not uphold their oaths",S0019311,The historical practices outlined demonstrate the explicit authority of the Council to elect or remove kings as part of their governance,B0938,0.9103435450921368
S0004221008p,B1025006p,The collection of customs and excise duties without parliamentary consent is a clear violation of legal norms,S0004221,The forms of Commonwealth are defined by the composition of the sovereign body,B1025,0.9239184729197738
S0020818002sc,B1026002sc,to acknowledge his graciousness,S0020818,Commonwealths are classified as democracy,B1026,0.9185867539728781
S0020322003p,B0601001p,This is not merely a matter of personal safety; it is a crucial step in protecting the very foundations of our parliamentary democracy during a time when the Exclusion Crisis has heightened fears of Catholic influence in the monarchy,S0020322,Saul and David received their power directly from God,B0601,0.8869170669916739
S0018682002p,B0880003p,The metaphor of the common highway being worn out by heavy carriages illustrates that the existing political processes are so burdened by past grievances and inefficiencies that meaningful progress is impossible,S0018682,"Rulers are described as His ministers, tasked with executing good and punishing evil",B0880,0.8860116659599407
S0022843008p,B1117001p,A united front is necessary to safeguard the rights and liberties of the citizens during this critical transition towards a constitutional monarchy,S0022843,The civil state can coexist with individual religious beliefs,B1117,0.9142126952033566
S0051869004p,B1176002p,"By allowing for corrections, the Speaker not only upholds the principles of fair representation but also reinforces the stability of the government",S0051869,The content clearly states that no coercive jurisdiction belongs to any bishop or priest as such,B1176,0.9236984837148704
B0980002p,B0340010p,"Over the course of approximately 300 years, these legal practitioners, referred to as lawyers or pleaders, managed to dominate not only the General Council but also the princes, nobles, and even the monarchy itself",B0980,"Without explicit divine command, private individuals should refrain from armed resistance",B0340,0.912631894200153
S0017652001sc,B0473002sc,Parliament should approve the supply for King Charles II,S0017652,Nobles unlawfully seize property,B0473,0.9227716966434222
S0053530009p,B0335006p,It is imperative that Parliament stands firm in its role as the ultimate arbiter of legal interpretation,S0053530,This approach mirrors the practices of justices who are sworn to serve without accepting fees from outside parties,B0335,0.8507545177460802
S0016536001sc,B0887001sc,Immediate printing of the proposed paper is essential to protect electoral integrity in England,S0016536,The prince must eliminate false religions,B0887,0.9236034939256198
S0023485004p,B1183010p,"The proposed Bill imposes severe penalties for refusing oaths, such as Præmunire",S0023485,The Roman bishops actively work to prevent the elevation of the Roman prince,B1183,0.8555614390004784
S0021114003sc,B1007006sc,The discussion protects against the risks of a Catholic monarchy,S0021114,Commonwealth duties influence citizen behavior,B1007,0.9190320932677873
S0018258003p,B0481004p,The current political climate is marked by the threat of Catholic influence and the recent Popish Plot,S0018258,"If there are no clear markers to distinguish legitimate rulers from others, then any individual could claim the right to govern",B0481,0.9215919910523351
S0010881003p,B0841003p,The Lords' failure to address matters of judicature undermines the foundational role of the Commons in initiating legal proceedings,S0010881,"All power ultimately derives from God, who is the King of Kings",B0841,0.9194575112697678
S0021135009p,B0017008p,The rise of a Catholic monarchy could further jeopardize the Protestant establishment,S0021135,Individuals may face potential harm from those in positions of power,B0017,0.5969695959260208
S0020485002sc,B0611002sc,Danby upholds parliamentary integrity,S0020485,The Pope's directive power is crucial for preserving the Church's mission,B0611,0.9003468071136347
B0923005p,B0773007p,"The powers of the kings in Gaul were limited by laws, making them accountable to the people",B0923,No individual is above judgment,B0773,0.17357833132752826
